nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200525,132124000,6528000,6529000,6529700,6529900,6530000,600,100,800,100,1900,6527800,6527100,6527000,6525700,6524800,200,100,500,2850,600
20200525,132127000,6527000,6527900,6529000,6529700,6529900,500,100,100,800,100,6525700,6524800,6524600,6524500,6521100,2850,600,200,800,100
20200525,132130000,6529000,6529700,6529900,6530000,6532000,100,800,100,1900,100,6527900,6527000,6525700,6524800,6524600,600,100,2750,600,200
20200525,132133000,6527900,6529000,6529700,6529900,6530000,100,100,800,600,1900,6527000,6525700,6524800,6524600,6524500,100,100,600,200,800
20200525,132136000,6527900,6529000,6529700,6529800,6529900,200,100,800,900,600,6524800,6524600,6524500,6521100,6520900,600,200,800,100,1100
20200525,132139000,6527900,6529000,6529700,6529800,6529900,300,100,800,900,600,6524800,6524600,6524500,6521100,6520900,600,100,800,100,1100
20200525,132142000,6532000,6532500,6533000,6533300,6534600,100,100,300,500,100,6530000,6525000,6524800,6524600,6524500,3100,1000,600,100,800
20200525,132145000,6532500,6533000,6533300,6535500,6539000,100,300,500,100,100,6532000,6530300,6530000,6525000,6524800,300,100,2900,1000,600
20200525,132148000,6533000,6533300,6535500,6539000,6539800,100,300,100,100,500,6532500,6532000,6530300,6530000,6527900,200,800,100,2900,800
20200525,132151000,6533300,6535500,6539000,6539800,6539900,300,100,100,500,900,6532000,6530000,6527900,6525000,6524600,200,2900,800,1000,100
20200525,132154000,6532500,6539000,6539800,6539900,6540000,100,100,500,900,600,6530000,6527900,6525000,6524600,6524500,2800,800,1000,100,800
20200525,132157000,6534500,6538000,6539000,6539600,6539800,900,500,100,100,500,6533000,6532500,6532000,6531300,6530100,2300,100,100,100,100
20200525,132200000,6534500,6538000,6539000,6539600,6539800,700,500,100,100,500,6533000,6532500,6532000,6531300,6530000,2100,200,100,100,2900
20200525,132203000,6534500,6538000,6539000,6539600,6539800,500,500,100,100,500,6533000,6532500,6532000,6531300,6530000,2300,100,100,100,2900
20200525,132206000,6538000,6539000,6539600,6539800,6539900,500,200,100,500,900,6534500,6533300,6533000,6532000,6531300,100,1000,1600,100,100
20200525,132209000,6533400,6537800,6538000,6539000,6539600,26,900,500,200,100,6533300,6533000,6532900,6532000,6531300,800,1600,200,100,100
20200525,132212000,6537800,6538000,6539000,6539600,6539800,500,500,200,100,500,6535000,6533300,6533000,6532900,6532000,4900,274,1600,200,100
20200525,132215000,6537800,6538000,6539000,6539600,6539800,500,500,200,100,500,6535000,6533300,6533000,6532900,6532000,4900,274,1600,200,100
20200525,132218000,6537800,6538000,6539000,6539600,6539800,450,500,200,100,500,6535000,6533400,6533300,6533000,6532900,4900,100,274,1600,200
20200525,132221000,6537800,6538000,6538800,6539000,6539600,450,500,100,200,100,6535600,6535200,6535100,6535000,6533400,400,100,100,5200,100
20200525,132224000,6537800,6538000,6538800,6539000,6539600,50,500,1000,200,100,6535600,6535200,6535100,6535000,6533400,500,100,100,5100,100
20200525,132227000,6537700,6538000,6538800,6539000,6539600,150,600,1000,200,100,6535600,6535200,6535100,6535000,6533400,300,100,100,5200,100
20200525,132230000,6537700,6537800,6538000,6538800,6539000,150,100,600,1000,200,6535600,6535200,6535100,6535000,6533400,200,100,100,5200,100
20200525,132233000,6538000,6538800,6539000,6539600,6539800,350,1000,200,100,500,6537800,6535600,6535200,6535100,6535000,1300,400,100,100,5200
20200525,132236000,6537900,6538000,6538800,6539000,6539600,100,650,1000,200,100,6537800,6536100,6535600,6535200,6535100,1000,100,400,100,100
20200525,132239000,6537900,6538000,6538800,6539000,6539600,100,750,1000,200,100,6537800,6537700,6536100,6535600,6535200,1000,100,100,400,100
20200525,132242000,6545000,6547100,6547200,6548900,6549000,400,100,100,300,100,6540000,6538000,6537900,6537800,6537700,650,300,300,1100,100
20200525,132245000,6545000,6547100,6547200,6548900,6549000,400,100,100,300,100,6540000,6539000,6538000,6537900,6537800,450,100,800,300,1100
20200525,132248000,6548900,6549000,6549600,6549700,6549800,150,100,100,900,200,6539000,6538000,6537900,6537800,6536100,100,800,300,1200,100
20200525,132251000,6548800,6548900,6549000,6549500,6549600,100,150,100,100,100,6540500,6540000,6538000,6537900,6537800,100,400,800,200,1200
20200525,132254000,6548900,6549000,6549500,6549600,6549700,460,100,100,100,900,6540500,6540000,6538000,6537900,6537800,100,400,800,200,200
20200525,132257000,6548800,6548900,6549000,6549500,6549600,700,460,100,100,100,6545000,6540500,6540000,6538000,6537900,100,100,300,800,200
