nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200527,95424000,6671500,6672000,6672100,6672400,6672500,300,700,300,400,400,6671000,6670800,6670400,6670300,6670200,3900,200,100,100,200
20200527,95427000,6671500,6672000,6672100,6672400,6672500,300,500,300,400,400,6671000,6670800,6670400,6670300,6670200,3900,200,100,100,200
20200527,95430000,6671500,6672000,6672100,6672400,6672500,100,500,300,400,400,6671100,6671000,6670800,6670400,6670300,500,4000,200,100,100
20200527,95433000,6671500,6672000,6672100,6672400,6672500,200,500,300,300,300,6671000,6670800,6670400,6670300,6670200,3200,200,100,100,200
20200527,95436000,6672000,6672100,6672400,6672500,6673000,500,300,200,300,1633,6671000,6670800,6670400,6670300,6670200,3100,200,100,100,100
20200527,95439000,6672000,6672100,6672400,6672500,6673000,500,300,200,300,1633,6671500,6671200,6671000,6670800,6670400,200,100,3000,200,100
20200527,95442000,6672000,6672100,6672400,6672500,6673000,400,300,200,300,1633,6671500,6671200,6671000,6670800,6670400,100,100,3000,200,100
20200527,95445000,6672000,6672100,6672400,6672500,6673000,500,300,200,300,1633,6671200,6671000,6670800,6670400,6670300,100,3000,200,100,100
20200527,95448000,6672000,6672100,6672400,6672500,6673000,500,300,200,300,1633,6671500,6671200,6671000,6670800,6670400,100,100,3200,200,100
20200527,95451000,6672000,6672100,6672400,6672500,6673000,500,300,200,300,1633,6671000,6670800,6670400,6670300,6670100,3200,200,100,100,700
20200527,95454000,6672000,6672100,6672400,6672500,6673000,400,300,200,300,1633,6671000,6670800,6670400,6670300,6670100,3200,200,100,100,700
20200527,95457000,6672000,6672100,6672400,6672500,6673000,400,300,200,300,1633,6671000,6670800,6670400,6670300,6670100,2400,200,100,100,700
20200527,95500000,6671200,6672000,6672100,6672400,6672500,300,500,300,200,300,6671000,6670800,6670400,6670300,6670100,2000,200,100,100,700
20200527,95503000,6671200,6672000,6672100,6672400,6672500,200,500,300,200,300,6671000,6670800,6670400,6670300,6670100,1100,200,100,100,700
20200527,95506000,6671000,6671200,6672000,6672100,6672400,200,200,300,300,200,6670000,6669900,6669200,6668800,6668500,5456,100,500,100,100
20200527,95509000,6669900,6670900,6671000,6671200,6672000,44,1600,300,200,300,6668800,6668500,6668100,6668000,6667500,100,100,200,700,100
20200527,95512000,6668100,6668800,6670000,6670900,6671000,300,300,200,1600,200,6668000,6667500,6667000,6666900,6666700,600,100,900,200,200
20200527,95515000,6667900,6668000,6668100,6668800,6670000,100,1100,300,300,200,6666700,6666600,6666000,6665000,6663900,100,2000,100,700,100
20200527,95518000,6667900,6668000,6668100,6668800,6670000,100,1500,300,300,200,6666700,6666600,6666000,6665000,6663900,100,2000,100,700,100
20200527,95521000,6666600,6666700,6667900,6668000,6668100,100,100,200,1500,300,6666000,6665000,6663900,6662800,6661600,100,700,100,200,100
20200527,95524000,6666600,6666700,6667900,6668000,6668100,100,100,200,1100,300,6665000,6663900,6662800,6661600,6661000,700,100,200,100,200
20200527,95527000,6666500,6666600,6666700,6667900,6668000,200,200,100,200,500,6665000,6663900,6662800,6661600,6661000,600,100,200,100,200
20200527,95530000,6666000,6666500,6666600,6666700,6667900,800,200,200,100,200,6662800,6661600,6661000,6660600,6660200,100,100,200,100,100
20200527,95533000,6665000,6666000,6666500,6666600,6666700,100,444,200,200,200,6660100,6660000,6655500,6655000,6654000,300,5200,100,100,100
20200527,95536000,6665000,6666000,6666500,6666600,6666700,100,544,200,200,200,6660000,6655500,6655000,6654000,6653000,4600,100,100,100,100
20200527,95539000,6665000,6666000,6666600,6666700,6667900,100,1696,200,200,200,6660000,6655500,6655000,6654000,6653000,4100,100,100,100,100
20200527,95542000,6660000,6664900,6665000,6666000,6666600,400,1200,100,1696,200,6655500,6655000,6654000,6653000,6651800,100,100,100,100,100
20200527,95545000,6660000,6664900,6665000,6666000,6666600,500,1200,100,1696,200,6655800,6655600,6655500,6655000,6654000,100,100,100,100,100
20200527,95548000,6655800,6660000,6664900,6665000,6666000,100,800,1200,100,1696,6655600,6655500,6655000,6654000,6653000,100,100,100,100,100
20200527,95551000,6655600,6655800,6660000,6664900,6665000,100,200,800,1200,100,6655500,6655000,6654000,6653000,6651800,100,200,100,100,100
20200527,95554000,6660000,6665000,6666000,6666600,6666700,300,100,1696,200,200,6655000,6654000,6653000,6651800,6651300,100,100,100,100,100
20200527,95557000,6664900,6665000,6666000,6666600,6666700,100,100,1696,200,200,6654000,6653000,6651800,6651300,6651000,100,100,100,100,100
20200527,95600000,6655500,6659900,6664900,6665000,6666000,700,100,100,100,1696,6654000,6653000,6651800,6651300,6651000,100,100,100,100,100
20200527,95603000,6655000,6655500,6659900,6665000,6666000,100,1200,100,100,1596,6651000,6650900,6650800,6650600,6650200,100,100,100,100,100
20200527,95606000,6651000,6651900,6654000,6655000,6655500,400,200,100,200,1100,6650600,6650200,6650100,6650000,6648800,100,100,100,4100,100
20200527,95609000,6651900,6654000,6655000,6655500,6659900,200,400,100,1100,100,6651000,6650000,6648800,6648000,6647000,100,1300,100,100,100
20200527,95612000,6651000,6654000,6654600,6655000,6655500,200,300,100,100,1100,6650100,6650000,6648800,6648000,6647000,200,1400,100,100,100
20200527,95615000,6650900,6651000,6654000,6654600,6655000,300,300,200,100,100,6650000,6648800,6648000,6647000,6645400,1500,100,100,100,200
20200527,95618000,6649100,6649900,6654000,6654600,6655000,100,9,200,100,200,6648800,6648000,6647000,6645400,6645000,100,100,100,200,300
20200527,95621000,6654000,6654600,6655000,6655500,6659900,200,100,200,1200,100,6651000,6650900,6650000,6645400,6645000,147,100,100,200,300
20200527,95624000,6654000,6654600,6655000,6655500,6659900,100,100,200,1200,100,6651000,6650900,6650000,6645400,6645000,47,100,200,200,300
20200527,95627000,6651000,6654600,6655000,6655500,6665000,53,100,200,1200,100,6650000,6645400,6645000,6644700,6644400,200,200,300,100,100
20200527,95630000,6651000,6654600,6654900,6655000,6655500,53,100,100,200,1200,6650000,6645400,6645000,6644700,6644400,1300,200,300,100,100
20200527,95633000,6654900,6655000,6655500,6665000,6666000,100,200,1200,100,1152,6651000,6650000,6645500,6645400,6645000,647,1500,100,300,300
20200527,95636000,6654900,6655000,6655500,6666000,6666600,100,200,1200,1152,200,6651000,6650000,6645500,6645400,6645000,747,1600,100,300,300
20200527,95639000,6654900,6655000,6655500,6666000,6666600,100,100,1200,1152,200,6651100,6651000,6650000,6646000,6645500,100,747,1800,100,100
20200527,95642000,6654900,6655000,6655500,6666000,6666600,100,100,1200,1152,200,6651100,6651000,6650100,6650000,6648000,100,747,100,1900,100
20200527,95645000,6654900,6655000,6655500,6666000,6666600,300,100,1200,1152,200,6651200,6651100,6651000,6650100,6650000,100,100,747,300,2000
20200527,95648000,6654900,6655000,6655500,6666000,6666600,200,100,1200,1152,200,6651400,6651200,6651100,6651000,6650100,300,100,200,747,300
20200527,95651000,6655000,6655500,6666000,6666600,6668000,100,1100,1152,200,400,6654900,6651400,6651300,6651200,6651100,700,300,300,200,200
20200527,95654000,6655500,6666000,6666600,6668000,6670000,1100,1152,200,400,100,6651300,6651200,6651100,6651000,6650100,200,200,200,747,300
20200527,95657000,6655500,6666000,6666600,6668000,6670000,600,1152,200,400,100,6654900,6651600,6651200,6651100,6651000,300,100,200,200,847
20200527,95700000,6655500,6666000,6666600,6668000,6670000,500,1152,200,400,100,6655000,6654900,6651600,6651200,6651100,100,300,100,200,200
20200527,95703000,6650000,6651300,6655500,6666000,6666600,2853,300,400,1152,200,6645400,6645000,6644700,6644600,6644400,200,300,100,100,100
